No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
15, d3sq5A2, 0.9854, 0.12, 1.000, 211, 211, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE H432N MUTANT
16, d3sq5B2, 0.9853, 0.13, 1.000, 211, 211, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE H432N MUTANT
17, d1q32A2, 0.9749, 0.14, 1.000, 211, 211, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE
18, d1q32B2, 0.9733, 0.22, 0.995, 209, 209, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE
19, d1q32D2, 0.9657, 0.34, 0.995, 210, 209, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE
20, d1q32C2, 0.9648, 0.22, 0.995, 207, 207, CRYSTAL STRUCTURE ANALYSIS OF THE YEAST TYROSYL-DNA PHOSPHODIESTERASE
21, p5nwaA1, 0.7166, 0.29, 0.995, 207, 207, CRYSTAL STRUCTURE OF THE COMPLEX OF TDP1 WITH DUPLEX DNA
22, d1qzqA2, 0.7140, 2.66, 0.243, 302, 181, HUMAN TYROSYL DNA PHOSPHODIESTERASE
23, d1rg2B2, 0.7130, 2.66, 0.243, 302, 181, CRYSTAL STRUCTURE OF HUMAN TYROSYL-DNA PHOSPHODIESTERASE COMPLEXED WITH VANADATE OCTOPAMINE AND TETRANUCLEOTIDE AGTA
24, d1mu9B2, 0.7120, 2.84, 0.227, 249, 181, CRYSTAL STRUCTURE OF A HUMAN TYROSYL-DNA PHOSPHODIESTERASE (TDP1)- VANADATE COMPLEX
25, d1nopB2, 0.7118, 2.59, 0.240, 242, 179, CRYSTAL STRUCTURE OF HUMAN TYROSYL-DNA PHOSPHODIESTERASE (TDP1) IN COMPLEX WITH VANADATE DNA AND A HUMAN TOPOISOMERASE I-DERIVED PEPTIDE
26, d1qzqB2, 0.7115, 2.61, 0.240, 242, 179, HUMAN TYROSYL DNA PHOSPHODIESTERASE
27, d1rfiB2, 0.7110, 2.61, 0.240, 241, 179, CRYSTAL STRUCTURE OF HUMAN TYROSYL-DNA PHOSPHODIESTERASE COMPLEXED WITH VANADATE PENTAPEPTIDE KLNYK AND TETRANUCLEOTIDE AGTC
28, d1rh0B2, 0.7108, 2.61, 0.240, 247, 179, CRYSTAL STRUCTURE OF HUMAN TYROSYL-DNA PHOSPHODIESTERASE COMPLEXED WITH VANADATE OCTOPAMINE AND TRINUCLEOTIDE GTT
29, d1rgtB2, 0.7108, 2.59, 0.236, 240, 178, CRYSTAL STRUCTURE OF HUMAN TYROSYL-DNA PHOSPHODIESTERASE COMPLEXED WITH VANADATE OCTOPAMINE AND TETRANUCLEOTIDE AGTC
30, d1rguB2, 0.7106, 2.59, 0.236, 240, 178, THE CRYSTAL STRUCTURE OF HUMAN TYROSYL-DNA PHOSPHODIESTERASE COMPLEXED WITH VANADATE OCTOPAMINE AND TETRANUCLEOTIDE AGTG
31, d1rffB2, 0.7106, 2.60, 0.236, 240, 178, CRYSTAL STRUCTURE OF HUMAN TYROSYL-DNA PHOSPHODIESTERASE COMPLEXED WITH VANADATE OCTAPEPTIDE KLNYYDPR AND TETRANUCLEOTIDE AGTT.
32, d1mu7B2, 0.7100, 2.60, 0.236, 240, 178, CRYSTAL STRUCTURE OF A HUMAN TYROSYL-DNA PHOSPHODIESTERASE (TDP1)- TUNGSTATE COMPLEX
33, d1mu7A2, 0.7091, 2.60, 0.236, 240, 178, CRYSTAL STRUCTURE OF A HUMAN TYROSYL-DNA PHOSPHODIESTERASE (TDP1)- TUNGSTATE COMPLEX
34, d1rg1B2, 0.7083, 2.61, 0.236, 241, 178, CRYSTAL STRUCTURE OF HUMAN TYROSYL-DNA PHOSPHODIESTERASE COMPLEXED WITH VANADATE OCTOPAMINE AND TETRANUCLEOTIDE AGTT
35, p5nw9B1, 0.7076, 2.61, 0.236, 233, 178, CRYSTAL STRUCTURE OF THE COMPLEX OF TDP1 WITH DUPLEX DNA
36, p5nw9A1, 0.7065, 2.64, 0.236, 240, 178, CRYSTAL STRUCTURE OF THE COMPLEX OF TDP1 WITH DUPLEX DNA
37, p5nwaB1, 0.7058, 2.59, 0.237, 292, 177, CRYSTAL STRUCTURE OF THE COMPLEX OF TDP1 WITH DUPLEX DNA
38, d1mu9A2, 0.7023, 2.61, 0.237, 291, 177, CRYSTAL STRUCTURE OF A HUMAN TYROSYL-DNA PHOSPHODIESTERASE (TDP1)- VANADATE COMPLEX
39, d1rh0A2, 0.7021, 2.60, 0.237, 293, 177, CRYSTAL STRUCTURE OF HUMAN TYROSYL-DNA PHOSPHODIESTERASE COMPLEXED WITH VANADATE OCTOPAMINE AND TRINUCLEOTIDE GTT
40, d1nopA2, 0.7020, 2.75, 0.237, 236, 177, CRYSTAL STRUCTURE OF HUMAN TYROSYL-DNA PHOSPHODIESTERASE (TDP1) IN COMPLEX WITH VANADATE DNA AND A HUMAN TOPOISOMERASE I-DERIVED PEPTIDE
41, d1rfiA2, 0.7019, 2.75, 0.237, 236, 177, CRYSTAL STRUCTURE OF HUMAN TYROSYL-DNA PHOSPHODIESTERASE COMPLEXED WITH VANADATE PENTAPEPTIDE KLNYK AND TETRANUCLEOTIDE AGTC
42, d1rg2A2, 0.7014, 2.75, 0.237, 236, 177, CRYSTAL STRUCTURE OF HUMAN TYROSYL-DNA PHOSPHODIESTERASE COMPLEXED WITH VANADATE OCTOPAMINE AND TETRANUCLEOTIDE AGTA
43, d1rffA2, 0.7014, 2.77, 0.243, 236, 177, CRYSTAL STRUCTURE OF HUMAN TYROSYL-DNA PHOSPHODIESTERASE COMPLEXED WITH VANADATE OCTAPEPTIDE KLNYYDPR AND TETRANUCLEOTIDE AGTT.
44, d1rguA2, 0.7007, 2.76, 0.237, 236, 177, THE CRYSTAL STRUCTURE OF HUMAN TYROSYL-DNA PHOSPHODIESTERASE COMPLEXED WITH VANADATE OCTOPAMINE AND TETRANUCLEOTIDE AGTG
45, d1rg1A2, 0.6996, 2.65, 0.239, 236, 176, CRYSTAL STRUCTURE OF HUMAN TYROSYL-DNA PHOSPHODIESTERASE COMPLEXED WITH VANADATE OCTOPAMINE AND TETRANUCLEOTIDE AGTT
46, d1rgtA2, 0.6993, 2.66, 0.239, 236, 176, CRYSTAL STRUCTURE OF HUMAN TYROSYL-DNA PHOSPHODIESTERASE COMPLEXED WITH VANADATE OCTOPAMINE AND TETRANUCLEOTIDE AGTC
47, d1jy1A2, 0.6875, 2.73, 0.239, 235, 176, CRYSTAL STRUCTURE OF HUMAN TYROSYL-DNA PHOSPHODIESTERASE (TDP1)
