No., subject, TM-score, RMSD, Sequence Identity, Subject length, Aligned length, Description
18, 4xeiF, 0.9793, 0.71, 1.000, 168, 166, ORTHORHOMBIC ISOMORPH OF BOVINE ARP2/3 COMPLEX
19, 3dwlK, 0.9769, 0.75, 0.687, 166, 166, CRYSTAL STRUCTURE OF FISSION YEAST ARP2/3 COMPLEX LACKING THE ARP2 SUBUNIT
20, 3dwlF, 0.9767, 0.75, 0.687, 166, 166, CRYSTAL STRUCTURE OF FISSION YEAST ARP2/3 COMPLEX LACKING THE ARP2 SUBUNIT
21, 4xf2F, 0.9496, 1.13, 1.000, 167, 166, TETRAGONAL STRUCTURE OF ARP2/3 COMPLEX
22, 4xf2Y, 0.9476, 1.15, 1.000, 167, 166, TETRAGONAL STRUCTURE OF ARP2/3 COMPLEX
23, 3dwlI, 0.7177, 2.93, 0.146, 272, 151, CRYSTAL STRUCTURE OF FISSION YEAST ARP2/3 COMPLEX LACKING THE ARP2 SUBUNIT
24, 3dwlD, 0.7177, 2.93, 0.146, 272, 151, CRYSTAL STRUCTURE OF FISSION YEAST ARP2/3 COMPLEX LACKING THE ARP2 SUBUNIT
25, 3rseD, 0.7089, 2.82, 0.150, 280, 147, STRUCTURAL AND BIOCHEMICAL CHARACTERIZATION OF TWO BINDING SITES FOR NUCLEATION PROMOTING FACTOR WASP-VCA ON ARP2/3 COMPLEX
26, 4jd2D, 0.7066, 2.81, 0.158, 283, 146, CRYSTAL STRUCTURE OF BOS TAURUS ARP2/3 COMPLEX BINDING WITH MUS MUSCULUS GMF
27, 2p9nD, 0.7055, 2.76, 0.166, 283, 145, CRYSTAL STRUCTURE OF BOVINE ARP2/3 COMPLEX CO-CRYSTALLIZED WITH ADP
28, 2p9lD, 0.7055, 2.81, 0.158, 277, 146, CRYSTAL STRUCTURE OF BOVINE ARP2/3 COMPLEX
29, 2p9uD, 0.7047, 2.82, 0.158, 280, 146, CRYSTAL STRUCTURE OF BOVINE ARP2/3 COMPLEX CO-CRYSTALLIZED WITH AMP-PNP AND CALCIUM
30, 2p9pD, 0.7045, 2.84, 0.158, 273, 146, CRYSTAL STRUCTURE OF BOVINE ARP2/3 COMPLEX CO-CRYSTALLIZED WITH ADP
31, 2p9sD, 0.7037, 2.83, 0.158, 280, 146, STRUCTURE OF BOVINE ARP2/3 COMPLEX CO-CRYSTALLIZED WITH ATP/MG2+
32, 3dxmD, 0.7025, 2.82, 0.164, 281, 146, STRUCTURE OF BOS TAURUS ARP2/3 COMPLEX WITH BOUND INHIBITOR CK0993548
33, 1u2vD, 0.7022, 2.78, 0.166, 282, 145, CRYSTAL STRUCTURE OF ARP2/3 COMPLEX WITH BOUND ADP AND CALCIUM
34, 3ukrD, 0.7019, 2.87, 0.150, 282, 147, CRYSTAL STRUCTURE OF BOS TAURUS ARP2/3 COMPLEX WITH BOUND INHIBITOR CK-666
35, 1k8kD, 0.7017, 2.83, 0.164, 284, 146, CRYSTAL STRUCTURE OF ARP2/3 COMPLEX
36, 3ukuD, 0.7013, 2.84, 0.158, 277, 146, STRUCTURE OF ARP2/3 COMPLEX WITH BOUND INHIBITOR CK-869
37, 3dxkD, 0.7012, 2.83, 0.164, 282, 146, STRUCTURE OF BOS TAURUS ARP2/3 COMPLEX WITH BOUND INHIBITOR CK0944636
38, 2p9iD, 0.6994, 2.80, 0.166, 280, 145, CRYSTAL STRUCTURE OF BOVINE ARP2/3 COMPLEX CO-CRYSTALLIZED WITH ADP AND CROSSLINKED WITH GLUTERALDEHYDE
39, 2p9kD, 0.6979, 2.86, 0.164, 277, 146, CRYSTAL STRUCTURE OF BOVINE ARP2/3 COMPLEX CO-CRYSTALLIZED WITH ATP AND CROSSLINKED WITH GLUTARALDEHYDE
40, 3uleD, 0.6961, 2.87, 0.164, 281, 146, STRUCTURE OF BOS TAURUS ARP2/3 COMPLEX WITH BOUND INHIBITOR CK-869 AND ATP
41, 1tyqD, 0.6955, 2.82, 0.166, 274, 145, CRYSTAL STRUCTURE OF ARP2/3 COMPLEX WITH BOUND ATP AND CALCIUM
42, 4xeiD, 0.6883, 2.95, 0.150, 282, 147, ORTHORHOMBIC ISOMORPH OF BOVINE ARP2/3 COMPLEX
43, 4xf2W, 0.6763, 3.10, 0.150, 284, 147, TETRAGONAL STRUCTURE OF ARP2/3 COMPLEX
44, 4xf2D, 0.6760, 3.10, 0.150, 284, 147, TETRAGONAL STRUCTURE OF ARP2/3 COMPLEX
