4C1B B ,149,8.9,10e-4.5,3.2,8.7,Esterase Domain Of The Zfl2-1 Orf1 Protein From The Zebrafish Zfl2-1 Retrotransposon
3LME H ,30,6.4,0.0257,1.7,6.7,Structure Of Probable Translation Initiation Inhibitor From (Rpa2473) From Rhodopseudomonas Palustrisÿ
3L7Q E ,30,6.4,0.0279,1.7,6.7,Crystal Structure Of Aldr From Streptococcus Mutansÿ
3JC5 4 4,38,6.4,0.0173,2.2,7.9,Structure Of The Eukaryotic Replicative Cmg Helicase And Pumpjack Motion
3LME J ,30,6.4,0.0297,1.7,6.7,Structure Of Probable Translation Initiation Inhibitor From (Rpa2473) From Rhodopseudomonas Palustrisÿ
3L7Q G ,31,6.4,0.0308,1.8,9.7,Crystal Structure Of Aldr From Streptococcus Mutansÿ
3LME F ,30,6.3,0.0348,1.7,6.7,Structure Of Probable Translation Initiation Inhibitor From (Rpa2473) From Rhodopseudomonas Palustrisÿ
3LME A ,31,6.3,0.0362,1.5,12.9,Structure Of Probable Translation Initiation Inhibitor From (Rpa2473) From Rhodopseudomonas Palustrisÿ
3LME B ,31,6.3,0.0399,1.5,12.9,Structure Of Probable Translation Initiation Inhibitor From (Rpa2473) From Rhodopseudomonas Palustrisÿ
3LME K ,31,6.3,0.0419,1.5,12.9,Structure Of Probable Translation Initiation Inhibitor From (Rpa2473) From Rhodopseudomonas Palustrisÿ
4UYJ B ,40,6.3,0.0350,1.5,2.5,Crystal Structure Of A Signal Recognition Particle Alu Domain In The Elongation Arrest Conformation
3LME I ,31,6.3,0.0458,1.5,12.9,Structure Of Probable Translation Initiation Inhibitor From (Rpa2473) From Rhodopseudomonas Palustrisÿ
3LME C ,30,6.2,0.0495,1.7,6.7,Structure Of Probable Translation Initiation Inhibitor From (Rpa2473) From Rhodopseudomonas Palustrisÿ
1U7I A 2,30,5.5,0.0100,1.6,3.3,X-Ray Crystal Structure Of Hypothetical Protein Pa1358 From Pseudomonas Aeruginosa
3OPY G 1,37,5.5,0.0105,1.5,5.4,Crystal Structure Of Eukaryotic Phosphofructokinase From Yeast Pichia Pastoris With A Unique Gamma Subunit And Glyoxalase Subdomains In Alpha And Beta Subunitsÿ
3OPY A 1,37,5.5,0.0110,1.5,5.4,Crystal Structure Of Eukaryotic Phosphofructokinase From Yeast Pichia Pastoris With A Unique Gamma Subunit And Glyoxalase Subdomains In Alpha And Beta Subunitsÿ
1U7I B 2,31,5.4,0.0132,1.8,3.2,X-Ray Crystal Structure Of Hypothetical Protein Pa1358 From Pseudomonas Aeruginosa
3OPY C 1,37,5.4,0.0136,1.5,5.4,Crystal Structure Of Eukaryotic Phosphofructokinase From Yeast Pichia Pastoris With A Unique Gamma Subunit And Glyoxalase Subdomains In Alpha And Beta Subunitsÿ
3OMS A 2,40,5.3,0.0325,2.0,0.0,Putative 3-Demethylubiquinone-9 3-Methyltransferase, Phnb Protein, From Bacillus Cereusÿ
2BSZ A 1,20,5.2,0.0152,1.6,0.0,Structure Of Mesorhizobium Loti Arylamine N- Acetyltransferase 1
4NV8 B 1,26,5.2,0.0154,2.5,7.7,Crystal Structure Of Mesorhizobium Loti Arylamine N-acetyltransferase F42w Mutant
4NV7 A 1,20,5.2,0.0178,1.6,0.0,Crystal Structure Of Mesorhizobium Loti Arylamine N-acetyltransferase 1 In Complex With Coa
4NV7 B 1,20,5.2,0.0221,1.6,0.0,Crystal Structure Of Mesorhizobium Loti Arylamine N-acetyltransferase 1 In Complex With Coa
4NV8 A 1,20,5.2,0.0292,1.5,0.0,Crystal Structure Of Mesorhizobium Loti Arylamine N-acetyltransferase F42w Mutant
4C1B A 1,36,5.0,0.0172,1.2,22.2,Esterase Domain Of The Zfl2-1 Orf1 Protein From The Zebrafish Zfl2-1 Retrotransposon
4C1B C 1,44,4.9,0.0218,2.0,18.2,Esterase Domain Of The Zfl2-1 Orf1 Protein From The Zebrafish Zfl2-1 Retrotransposon
4C1B B 1,49,4.9,0.0218,2.1,16.3,Esterase Domain Of The Zfl2-1 Orf1 Protein From The Zebrafish Zfl2-1 Retrotransposon
3IZ3 A 6,21,4.9,0.0090,1.4,9.5,Cryoem Structure Of Cytoplasmic Polyhedrosis Virusÿ
2EWN A 1,34,4.5,0.0439,2.1,8.8,Ecoli Biotin Repressor With Co-Repressor Analog
4Q5S D 12,12,3.5,0.0262,1.1,0.0,Rpase In Complex With Dna And Rna
